LOCAL_DATE,TOTAL,UPSTREAM,DOWNSTREAM,NET,PEAK_TIME,RATE,STATION
5/15/2023,0,0,0,0,?,0,22
5/16/2023,2,0,1,?,660,-1,22
5/17/2023,0,0,0,0,?,0,22
5/18/2023,1,1,0,1,840,1,22
5/19/2023,2,0,1,?,1020,-1,22
5/20/2023,0,0,0,0,?,0,22
5/21/2023,0,0,0,0,?,0,22
5/22/2023,0,0,0,0,?,0,22
5/23/2023,0,0,0,0,?,0,22
5/24/2023,0,0,0,0,?,0,22
5/25/2023,7,1,3,-2,1080,-1,22
5/26/2023,2,0,0,0,900,0,22
5/27/2023,0,0,0,0,?,0,22
5/28/2023,0,0,0,0,?,0,22
5/29/2023,0,0,0,0,?,0,22
5/30/2023,0,0,0,0,?,0,22
5/31/2023,0,0,0,0,?,0,22
7/12/2023,0,0,0,0,?,0,22
7/13/2023,0,0,0,0,?,0,22
7/14/2023,1,0,1,-1,300,-1,22
7/15/2023,0,0,0,0,?,0,22
7/16/2023,1,1,0,1,?,1,22
7/17/2023,2,0,1,-1,720,-1,22
7/18/2023,1,1,0,1,?,1,22
7/19/2023,1,0,1,-1,960,-1,22
7/20/2023,1,1,0,1,1320,1,22
7/21/2023,0,0,0,0,?,0,22
7/22/2023,0,0,0,0,?,0,22
7/23/2023,0,0,0,0,?,0,22
7/24/2023,0,0,0,0,?,0,22
7/25/2023,0,0,0,0,?,0,22
7/26/2023,0,0,0,0,?,0,22
7/27/2023,0,0,0,0,?,0,22
7/28/2023,0,0,0,0,?,0,22
7/29/2023,0,0,0,0,?,0,22
7/30/2023,0,0,0,0,?,0,22
7/31/2023,0,0,0,0,?,0,22
8/1/2023,0,0,0,0,?,0,22
8/2/2023,1,1,0,1,600,1,22
8/3/2023,1,1,0,1,1320,1,22
8/4/2023,0,0,0,0,?,0,22
8/5/2023,1,1,0,1,840,1,22
8/6/2023,1,1,0,1,840,1,22
8/7/2023,2,?,0,?,300,1,22
8/8/2023,2,2,0,2,600,2,22
8/9/2023,1,1,0,1,360,1,22
8/10/2023,0,0,0,0,?,0,22
8/11/2023,0,0,0,0,?,0,22
8/12/2023,1,1,0,1,1140,1,22
8/13/2023,0,0,0,0,?,0,22
8/14/2023,0,0,0,0,?,0,22
8/15/2023,1,0,0,0,780,0,22
8/16/2023,3,1,1,0,360,1,22
8/17/2023,0,0,0,0,?,0,22
8/18/2023,0,0,0,0,?,0,22
8/19/2023,0,0,0,0,?,0,22
8/20/2023,0,0,0,0,?,0,22
8/21/2023,2,2,0,2,480,1,22
8/22/2023,0,0,0,0,?,0,22
8/23/2023,0,0,0,0,?,0,22
8/24/2023,1,0,1,-1,1200,-1,22
8/25/2023,1,1,0,1,420,1,22
8/26/2023,3,1,1,0,1020,1,22
8/27/2023,14,9,2,7,1080,2,22
8/28/2023,38,37,0,37,600,9,22
8/29/2023,28,26,1,25,540,14,22
8/30/2023,16,16,0,16,420,9,22
8/31/2023,207,207,0,207,420,33,22
9/1/2023,165,164,2,162,420,53,22
9/2/2023,12,10,1,9,420,6,22
9/3/2023,19,19,0,19,1020,5,22
9/4/2023,5,5,0,5,420,2,22
9/5/2023,51,48,3,45,420,13,22
9/6/2023,36,33,2,31,900,7,22
9/7/2023,23,22,1,21,480,9,22
9/8/2023,9,9,0,9,420,3,22
9/9/2023,0,0,0,0,?,0,22
9/10/2023,0,0,0,0,?,0,22
9/11/2023,1,0,1,-1,1080,-1,22
9/12/2023,45,45,0,45,540,13,22
9/13/2023,272,272,0,272,840,51,22
9/14/2023,571,567,6,561,720,94,22
9/15/2023,39,39,0,39,600,12,22
9/16/2023,28,28,0,28,540,7,22
9/17/2023,18,18,0,18,480,9,22
9/18/2023,21,21,0,21,480,8,22
9/19/2023,22,22,0,22,420,10,22
9/20/2023,62,61,1,60,960,12,22
9/21/2023,72,70,0,70,600,25,22
9/22/2023,136,135,0,135,1080,57,22
9/23/2023,753,752,0,752,840,132,22
9/24/2023,598,598,0,598,660,106,22
9/25/2023,961,961,0,961,660,126,22
9/26/2023,283,262,12,250,540,72,22
9/27/2023,59,53,1,52,420,24,22
9/28/2023,25,21,0,21,420,10,22
9/29/2023,83,69,7,62,480,27,22
9/30/2023,34,19,7,12,420,6,22
10/1/2023,70,45,18,27,480,7,22
10/2/2023,247,217,22,195,660,26,22
10/3/2023,211,187,16,171,600,35,22
10/4/2023,226,211,11,200,840,33,22
10/5/2023,360,317,29,288,720,38,22
10/6/2023,108,79,3,76,1020,12,22
10/7/2023,58,40,1,39,780,20,22
10/8/2023,58,51,1,50,540,12,22
10/9/2023,56,48,3,45,1080,9,22
10/10/2023,125,117,5,112,1020,27,22
10/11/2023,101,91,5,86,780,12,22
10/12/2023,102,98,3,95,1020,17,22
10/14/2023,10,7,0,7,660,4,22
10/13/2023,72,61,4,57,960,20,22
10/15/2023,57,51,1,50,840,11,22
10/16/2023,0,0,0,0,?,0,22
10/17/2023,24,16,6,10,1020,5,22
10/18/2023,73,65,5,60,840,18,22
10/19/2023,48,36,7,29,1020,7,22
10/20/2023,45,34,8,26,840,13,22
10/21/2023,0,0,0,0,?,0,22
10/22/2023,5,2,0,2,540,1,22
10/23/2023,2,0,0,0,540,0,22
10/24/2023,9,1,0,1,780,1,22
1/25/1900,3,0,0,0,420,0,22
10/26/2023,0,0,0,0,?,0,22
10/27/2023,14,5,5,0,1020,2,22
10/28/2023,14,7,0,7,780,3,22
10/29/2023,9,2,1,1,60,1,22
10/30/2023,0,0,0,0,?,0,22
10/31/2023,0,0,0,0,?,0,22
11/1/2023,0,0,0,0,?,0,22
11/2/2023,0,0,0,0,?,0,22
11/3/2023,0,0,0,0,?,0,22
11/4/2023,0,0,0,0,?,0,22
11/5/2023,0,0,0,0,?,0,22
11/6/2023,0,0,0,0,?,0,22
11/7/2023,14,10,0,10,780,4,22
11/8/2023,0,0,0,0,?,0,22
11/9/2023,10,0,2,-2,600,-1,22
11/10/2023,0,0,0,0,?,0,22
11/11/2023,0,0,0,0,?,0,22
11/12/2023,0,0,0,0,?,0,22
