LOCAL_DATE,TOTAL,UPSTREAM,DOWNSTREAM,NET,PEAK_TIME,RATE,STATION
4/1/2023,0,0,0,0,?,0,22
4/2/2023,0,0,0,0,?,0,22
4/3/2023,12,4,0,4,1140,3,22
4/4/2023,946,749,0,749,960,230,22
4/5/2023,4,0,0,0,0,0,22
4/6/2023,1,0,1,-1,900,-1,22
4/7/2023,8,3,0,3,960,2,22
4/8/2023,7,2,1,1,1080,1,22
4/9/2023,29,14,1,13,960,5,22
4/10/2023,26,12,0,12,1020,5,22
4/11/2023,11,6,1,5,480,3,22
4/12/2023,43,24,2,22,960,6,22
4/13/2023,70,24,5,19,600,8,22
4/14/2023,130,25,1,24,420,5,22
4/15/2023,210,27,17,10,480,3,22
4/16/2023,299,22,32,-10,420,-10,22
4/17/2023,51,30,9,21,840,4,22
4/18/2023,0,0,0,0,?,0,22
4/19/2023,26,9,3,6,1020,2,22
4/20/2023,40,12,4,8,420,3,22
4/21/2023,60,12,11,1,180,3,22
4/22/2023,133,9,38,-29,540,-21,22
4/23/2023,11,1,2,-1,360,-1,22
4/24/2023,43,7,3,4,360,4,22
4/25/2023,7,1,2,-1,1200,1,22
4/26/2023,1,0,0,0,?,0,22
4/27/2023,52,9,8,1,420,1,22
4/28/2023,63,6,8,-2,780,-1,22
4/29/2023,90,3,1,2,660,2,22
4/30/2023,79,2,8,-6,600,-2,22
5/1/2023,0,0,0,0,?,0,22
5/2/2023,2,2,0,2,720,1,22
5/3/2023,2,2,0,2,360,1,22
5/4/2023,0,0,0,0,?,0,22
5/5/2023,16,5,3,2,360,1,22
5/6/2023,3,2,0,2,420,1,22
5/7/2023,92,6,23,-17,360,-15,22
5/8/2023,9,1,1,0,1080,1,22
5/9/2023,4,2,0,2,780,2,22
5/10/2023,0,0,0,0,?,0,22
5/11/2023,0,0,0,0,?,0,22
5/12/2023,22,3,11,-8,360,-5,22
5/13/2023,5,1,1,0,1140,1,22
5/14/2023,0,0,0,0,?,0,22
